0	15963028	950
855179	889181	900
889181	890934	850
890934	963494	900
963494	970771	850
970771	975933	800
975933	983561	850
983561	1107077	900
1107077	1141679	850
1141679	1166861	800
1166861	1220093	750
1220093	1263803	700
1263803	1312069	750
1312069	1312476	700
1312476	1333603	750
1333603	1351326	800
1351326	1366719	850
1366719	1403426	900
1403426	1508672	850
1508672	1546361	800
1546361	1603727	750
1603727	1636785	800
1636785	1653323	750
1653323	1668480	700
1668480	1698475	650
1698475	1718072	600
1718072	1752492	650
1752492	1816058	700
1816058	1841561	750
1841561	1866210	800
1866210	1890458	850
1890458	1946524	900
1946524	1952349	850
1952349	2036997	900
2036997	2059447	850
2059447	2108781	800
2108781	2134515	850
2134515	2220349	900
2220349	2228428	850
2228428	2229407	800
2229407	2235974	850
2235974	2322552	900
2322552	2328378	850
2328378	2337950	900
2337950	2389983	950
2389983	2398081	900
2398081	2410542	850
2410542	2625740	800
2625740	2690516	850
2690516	2699428	800
2699428	2716643	850
2716643	2778833	900
2778833	3405838	950
3405838	3407744	900
3407744	3528519	950
3528519	3562993	900
3562993	3622786	950
3622786	3659434	900
3659434	3670627	950
3670627	3680800	900
3680800	3706646	850
3706646	3736125	800
3736125	3752780	750
3752780	3771069	800
3771069	3772625	850
3772625	3780611	900
3780611	3787076	950
3787076	3809552	900
3809552	4724364	950
4724364	4746995	900
4746995	5136683	950
5136683	5139203	900
5139203	5789801	950
5789801	5791760	900
5791760	5803521	950
5803521	5838248	900
5838248	5840094	850
5840094	5845562	800
5845562	5976954	750
5976954	5985451	800
5985451	6068179	850
6068179	6073871	800
6073871	6089488	750
6089488	6094907	700
6094907	6111474	750
6111474	6118959	700
6118959	6127314	750
6127314	6136140	800
6136140	6189019	850
6189019	6202095	800
6202095	6237951	750
6237951	6249420	800
6249420	6265075	850
6265075	6432371	800
6432371	6443110	750
6443110	6454937	700
6454937	6459170	750
6459170	6476188	800
6476188	6486463	850
6486463	6499132	800
6499132	6553744	750
6553744	6560867	700
6560867	6563043	650
6563043	6565041	600
6565041	6566953	550
6566953	6616459	500
6616459	6638339	550
6638339	6661475	600
6661475	6661591	550
6661591	6697989	600
6697989	6713583	650
6713583	6753526	700
6753526	6755406	650
6755406	6762630	700
6762630	6772668	650
6772668	6809036	600
6809036	6827509	650
6827509	6851497	700
6851497	6882758	650
6882758	6898329	700
6898329	6957044	750
6957044	7029477	800
7029477	7073390	850
7073390	7074949	800
7074949	7075926	850
7075926	7078244	800
7078244	7092227	850
7092227	7133416	900
7133416	7135819	850
7135819	7175684	900
7175684	7180746	850
7180746	7218427	900
7218427	7219157	850
7219157	7229983	900
7229983	7232897	850
7232897	7249707	900
7249707	7260298	950
7260298	7269321	900
7269321	7280478	950
7280478	7285905	900
7285905	7314256	950
7314256	7316859	900
7316859	7340587	950
7340587	7376350	900
7376350	7408631	950
7408631	7410360	900
7410360	7437902	950
7437902	7438363	900
7438363	7439872	950
7439872	7439996	900
7439996	7446892	950
7446892	7451323	900
7451323	7453995	950
7453995	7455175	900
7455175	7473416	950
7473416	7477664	900
7477664	7484832	950
7484832	7485321	900
7485321	7498776	950
7498776	7499120	900
7499120	7536677	950
7536677	7631938	900
7631938	7642997	850
7642997	7646074	800
7646074	7648707	750
7648707	7656943	800
7656943	7695962	750
7695962	7715030	700
7715030	7738353	650
7738353	7743930	700
7743930	7745062	650
7745062	7745476	600
7745476	7747781	550
7747781	7754733	500
7754733	7766838	550
7766838	7779432	600
7779432	7824604	650
7824604	7832721	700
7832721	7850286	750
7850286	7894556	800
7894556	7927299	750
7927299	7956844	700
7956844	7967497	650
7967497	7986832	600
7986832	7987389	550
7987389	7996151	600
7996151	8011330	550
8011330	8038679	600
8038679	8069031	650
8069031	8089606	700
8089606	8104665	750
8104665	8112384	800
8112384	8156322	850
8156322	8175226	900
8175226	8179251	850
8179251	8240882	900
8240882	8243201	850
8243201	8272973	900
8272973	8286413	850
8286413	8294092	800
8294092	8307566	750
8307566	8320725	700
8320725	8324285	650
8324285	8332720	600
8332720	8334925	550
8334925	8336377	500
8336377	8349239	450
8349239	8422402	500
8422402	8428009	550
8428009	8431972	600
8431972	8441460	550
8441460	8464720	500
8464720	8500287	550
8500287	8549193	500
8549193	8563252	550
8563252	8578840	600
8578840	8628492	550
8628492	8664100	600
8664100	8680239	650
8680239	8680251	600
8680251	8681481	650
8681481	8701523	600
8701523	8721798	650
8721798	8792779	700
8792779	8801154	650
8801154	8811956	700
8811956	8874865	750
8874865	8895717	800
8895717	8912815	850
8912815	9001610	900
9001610	9120252	850
9120252	9182528	900
