19377593	19378574	+
19407014	19410111	-
19553364	19584942	+
19650031	19692916	+
19880208	19925334	-
19983953	20020272	-
20181062	20182491	-
20215586	20216528	+
20248481	20249423	+
20271928	20296531	+
20344426	20345371	+
20388765	20389737	+
20403766	20404842	+
20443677	20444724	+
20482419	20483352	-
20502002	20502917	-
20528203	20529142	+
20585565	20586597	+
20611894	20612821	+
20665494	20666532	+
20691868	20692861	+
20710950	20711925	+
20757300	20774153	-
20779526	20801471	-
20811229	20811570	-
20811772	20826063	+
20833825	20881579	-
20896969	20903801	-
20915206	20923267	-
20923289	20925931	+
20926011	20929771	-
20937537	20946165	+
20978630	20979281	+
21024251	21029090	-
21051051	21075380	-
21108854	21109850	-
21152335	21168761	+
21214098	21216539	+
21236585	21239107	+
21249209	21250626	+
21269514	21271036	-
21359561	21360507	+
21387499	21388335	+
21423629	21424594	+
21457964	21467322	+
21467413	21470034	+
21484921	21493935	-
21498344	21500332	+
21500978	21502944	-
21510384	21512392	+
21526051	21526516	+
21538418	21566808	+
21567095	21571883	+
21623095	21624184	-
21668237	21675059	-
21677295	21737638	-
21756135	21819460	+
21819630	21852425	-
21853352	21905457	-
21927178	21945132	-
21945334	21979457	+
21989230	22005350	-
22037933	22038875	-
22101991	22103096	-
22133296	22134238	+
23033806	23058143	-
23067146	23081265	+
23235730	23240998	+
23242431	23285107	-
23299091	23304246	+
23305741	23316808	+
23340959	23347291	+
23352431	23356889	+
23369853	23388396	-
23388664	23398794	+
23398817	23426351	+
23440382	23446432	-
23447820	23451851	-
23456109	23479410	-
23495059	23504354	-
23511375	23513269	+
23516269	23526747	-
23527773	23569665	-
23586514	23588820	-
23594503	23624667	-
23707126	23755309	+
23765129	23772057	-
23775970	23780968	+
23789396	23795394	+
23815519	23822121	-
23825608	23834842	-
23842017	23845612	+
23846016	23848981	+
23851198	23877486	-
23881946	23904895	-
23938897	23947402	+
23980968	24048009	+
24105572	24114848	+
24407939	24438488	-
24439082	24475617	+
24476217	24520586	+
24521205	24538937	+
24540045	24547309	+
24549315	24553832	-
24563339	24573341	+
24583905	24594451	+
24600674	24602058	+
24605366	24610797	+
24612573	24615855	-
24616658	24629870	+
24630421	24635774	+
24641233	24658124	+
24658348	24664942	-
24674925	24677454	+
24678786	24683036	-
24683142	24685276	-
24686056	24701576	-
24701627	24708447	+
24708850	24711880	-
24718319	24732416	-
24734743	24740833	-
24759803	24768666	-
24769059	24787242	+
24787554	24804277	-
24805226	24809242	-
24836116	24848811	+
24867991	24888494	+
24895739	24912111	-
24912158	24971403	+
24974711	24977471	-
25042723	25045466	-
25075685	25078926	-
25100160	25103432	-
25281305	25519095	-
26915088	27066960	-
27244700	27291326	-
27342338	27383949	+
28081793	28108842	+
29194447	29234525	-
29236277	29239483	+
29241909	29264000	+
29896116	30396899	-
31028328	31089046	+
31091459	31205033	+
31343740	31359822	+
31363004	31565656	-
31569320	31676729	-
31760993	31889788	-
31889963	31926680	+
31952149	31957151	-
32030590	32330429	+
32544624	32545905	-
32546494	32628934	+
32671250	32671356	+
32672369	32672475	-
32798478	33302268	+
33408458	34273382	+
34393420	34420284	-
34902143	34931468	-
34985134	35008943	-
35030617	35099315	-
35179587	35183761	-
35221936	35344853	-
35409127	35409702	+
35452103	35498773	+
35514112	35591519	+
35591526	35743284	+
35747763	35786685	+
35870715	35873960	-
36003247	36006260	+
36007557	36278432	-
36295596	36341169	+
36539632	36645857	+
36767763	36789882	-
36942493	36982990	-
36985603	36992221	-
37049215	37051786	-
37126772	37147011	+
37147125	37642998	-
37667117	38020464	+
38058756	38064325	-
38677203	38682268	+
38723204	38725575	-
39218542	39386086	-
39501122	39572437	-
39583487	39606177	+
39617014	39639634	-
39644386	39652422	+
39703124	39722575	+
39734475	39820397	+
39865576	39901704	-
41423915	41494994	+
42076763	42373752	+
44973353	44976499	-
45366506	45381120	+
45393526	45431179	-
45431415	45543634	+
45553301	45603732	+
45605135	45670093	+
45672392	45722605	-
46533361	46971104	+
47120219	47121028	-
47308825	48144157	-
48230197	48230307	-
48234155	48264217	-
50043389	50053134	-
50065414	50081390	+
50085405	50087403	-
50087488	50090199	+
50091891	50101948	-
50110269	50155098	-
50159822	50219870	+
50234786	50249856	+
50250531	50319791	-
50359735	50363772	+
50433116	50433229	+
50448429	50506602	-
50550368	50559361	-
50575349	50583297	-
50583845	50698099	-
50709151	50778947	-
50779046	50792946	+
50796308	50864122	-
50885210	50999376	-
50999799	51099784	+
51100297	51135071	-
51186480	51297839	-
51338877	51371688	+
51371934	51411248	-
51441980	51562422	-
51706885	51724372	+
51800110	51832275	+
51921229	52197444	-
52327021	52436518	+
52456227	52471420	+
52471519	52535946	-
52734430	52743442	+
52781015	52795322	+
52897307	53019301	-
53019865	53104431	+
53108604	53162419	-
53173895	53194716	+
53196882	53241705	+
53241910	53258386	-
53323988	53417815	-
53503457	53620046	-
53620071	53624246	+
54415144	54415202	-
54416454	54423554	-
54863672	54886934	+
54893646	54908148	-
54941208	54955744	-
54976586	55005334	+
55034329	55260033	+
55308723	55369542	-
55405655	55493819	-
55493843	55516206	+
55518361	55536912	+
55595934	55612148	+
55614833	55658396	-
55738020	55820329	+
55833108	55878576	-
55880929	55907263	-
56042874	56046810	-
56046924	56151302	+
56232962	56234435	+
56247852	56263392	-
56585092	56768031	+
57046510	57116232	+
57267424	57277194	-
57279900	57397550	+
57669193	57756797	-
57857270	57879466	+
57936017	57960581	-
58030639	58332592	-
58470807	58618847	-
58666832	58702353	+
58711522	58764855	+
58765221	58840451	+
58862643	59015549	+
59100785	59115038	+
59295005	59484046	+
59655380	59838123	+
59930239	59932059	-
59939405	59951073	-
59951160	60043549	+
60062693	60097532	-
60386430	60530277	+
60558628	60601532	+
60611499	60632211	-
60712469	60765805	+
60902673	60952764	-
60975937	60978525	+
61111416	61116155	-
61176255	61190852	-
61201458	61435398	+
61438166	61447797	-
61447831	61550451	+
61744088	61748530	-
61788160	62017698	+
62022989	62121431	-
62147758	62215807	-
62229074	62263146	+
62462540	62568427	+
62584074	62606691	+
63173290	63511956	-
63671101	63760230	+
63779548	63785593	-
63840609	64010079	-
64063756	64108641	-
64150934	64194756	-
64319682	64927439	+
64932216	64941221	+
64953554	64970554	-
64971291	65007086	+
65007185	65009954	+
65016619	65056096	+
65171192	65211060	+
65213000	65289866	-
65381078	65402084	+
65405869	65409623	-
65412531	65438875	-
65453506	65569413	+
65679610	65689065	-
65801835	65801901	-
65877309	66210839	+
66953088	66965271	+
66974124	67648525	+
67656109	67695267	+
67708011	67802778	+
67804580	67826720	-
67827033	67853233	+
67853699	67878828	-
67936982	67982021	-
68000007	68067017	+
68086578	68141602	+
68143518	68162510	-
68168602	68201168	+
68213236	68283306	-
68286495	68944810	+
69254371	69262960	-
69340839	69446083	-
69446398	69454180	+
69517636	69619914	-
69658193	69710737	+
69726680	69821190	+
69846839	69865021	-
69865095	69929107	+
69951470	69995215	+
70036530	70041600	-
70078309	70181861	+
70232999	70238722	-
70242551	70264006	-
70346113	70499083	+
70510933	70655787	-
70712469	70714518	-
70791797	70826448	-
70833212	70883807	-
70918873	70926622	+
70935595	70950473	-
70989077	71001732	-
71049937	71067407	-
71075514	71108015	-
71108503	71142077	+
71165414	71178870	+
71189242	71250169	-
71374121	71582099	+
71865053	71865124	+
71954577	71956420	+
71996028	72207946	+
72398816	73033238	+
73086003	73360824	-
73393039	73426357	+
73436152	73493920	-
73525220	73588076	+
73603142	73690399	+
73704204	73741347	+
73741917	73925286	-
73945188	74025651	-
74034323	74042362	+
74058409	74062470	+
74083547	74086592	+
74111577	74170431	+
74178485	74181128	-
74181824	74253961	-
74254062	74270331	+
74318533	74352168	+
74353317	74398991	+
74399694	74429813	-
74433180	74486026	-
74486058	74551196	+
74551655	74667117	+
74706174	74729441	+
74751979	74769767	-
74815165	74826711	+
74872595	74892805	-
74946642	74960084	-
74960422	74962271	+
74964885	75079034	-
75127954	75179807	-
75179849	75203390	+
75230068	75304013	+
75319735	75330537	-
75348593	75370450	+
75370656	75389145	-
75408532	75422467	-
75469611	75476294	+
75480466	75518235	-
75519927	75530736	-
75536279	75546690	+
75548817	75593778	-
75598170	75643349	-
75745480	75748937	+
75761106	75763111	+
75894508	75939404	+
75988783	76013334	+
76041246	76114512	-
76117232	76127538	-
76127550	76421425	+
76424439	76448365	-
76452095	76525634	+
76618227	76679146	+
76737449	76737476	-
76837689	76968180	+
77228234	77253067	+
77253585	77279283	-
77292724	77336645	+
77490885	77495042	-
77507391	77542534	+
77564577	77583630	+
77597612	77608134	-
77648101	77725838	+
77731833	77737655	-
77741298	77787225	-
77787229	77797940	+
77808113	77843396	-
77843761	77857587	+
77860364	77889399	-
77893017	77923983	-
77924372	77935815	+
77940737	77965210	-
77972339	78083110	-
78138748	78174356	-
78174413	78183941	+
78183943	78236085	-
78266425	78400297	+
78636715	80334633	+
80663867	80921810	-
80962820	81405884	-
81421868	81575294	+
81641795	81687575	-
81726993	81893748	-
81908330	81916501	-
81937890	82000205	-
82071690	82089405	-
85860222	85886418	+
85996487	86094270	+
86401021	86596121	+
87372121	87389099	+
88399357	88459615	-
88471467	88481155	+
88484948	88553688	-
88646451	88793256	-
88851987	88904804	+
88932121	89021123	-
89029252	89079853	+
89081173	89259096	-
89290496	89344340	+
89622515	89883454	-
89883697	89886137	+
90042559	90043820	+
90261335	90421121	-
90422245	90511108	+
90528108	90652201	+
90722893	90738966	+
90744397	90798481	-
90863326	90874619	+
90921573	90925249	+
91006931	91282761	-
91337166	91526993	-
91580356	91691740	+
91698875	91710852	-
91737666	91884188	-
91923824	91976824	-
92047117	92198413	-
92246095	92302870	-
92335754	92414046	-
92434242	92506403	-
92524895	92572965	-
92582467	92588153	-
92588297	92630543	+
92788924	92967825	+
92980124	93155334	+
93170151	93215047	-
93260575	93306306	+
93389444	93401641	+
93403258	93582263	-
93648540	93651249	-
93651295	93653431	+
93669236	93695561	-
93703895	93799438	-
93799564	94173689	+
94184643	94254766	-
94371075	94395954	-
94400498	94423767	-
94463615	94478041	+
94492723	94515276	+
94517267	94547558	-
94547638	94569060	+
94577078	94583036	+
94594117	94595957	-
94640648	94694182	+
94749649	94759608	-
94770584	94789688	-
94829974	94833039	-
94843083	94857029	-
94908800	94919122	-
94929057	94942670	-
94953619	94984181	-
95027756	95036250	+
95047705	95059457	+
95078713	95090390	+
95107061	95113331	+
95234559	95236499	-
95552564	95603147	-
95604255	95604323	-
95624024	95646270	+
95648275	95786245	-
95795920	95801841	+
95873603	95876427	-
95883830	95942173	-
95999248	96001209	-
96001322	96011055	+
96117514	96139789	+
96152753	96158980	+
96176303	96180533	-
96343108	96391908	+
96505660	96560308	+
96671134	96710666	+
96722546	96731100	+
96747594	96829678	-
96829788	96853627	+
96858447	96955764	+
96967984	96968663	-
96968712	97033453	+
97263683	97347951	+
97409915	97411731	+
97925152	97930496	+
98098983	98152995	-
98391946	98444461	-
99177949	99184103	+
99635624	99738050	-
99864082	99947226	-
99947738	100070727	+
100111479	100143011	+
100150754	100193638	+
100259744	100408395	+
100531750	100610573	+
100612752	100626012	-
100705101	100745371	+
100757447	100772884	-
100774195	100774293	+
100789678	100796715	+
100800124	100842680	-
100842754	100996640	+
101003483	101034407	-
101123604	101139081	+
101193201	101201467	+
101280827	101280911	+
101292444	101327360	+
101335396	101335485	+
101340829	101340922	+
101341369	101341441	+
101346991	101351184	-
101361106	101373305	+
101391157	101391227	+
101393678	101393749	+
101402827	101402901	+
101404523	101404600	+
101405892	101405966	+
101407462	101407538	+
101411985	101412056	+
101416169	101416240	+
101418192	101418269	+
101419685	101419759	+
101420680	101420784	+
101421706	101421775	+
101423502	101423573	+
101429390	101429466	+
101431117	101431188	+
101432365	101432436	+
101433388	101433459	+
101433988	101452987	+
101453382	101453453	+
101454497	101454566	+
101455466	101455537	+
101456427	101456496	+
101458255	101458326	+
101459572	101459646	+
101488402	101488469	+
101489661	101489757	+
101490130	101490193	+
101491353	101491414	+
101491900	101491988	+
101492068	101492154	+
101492356	101492444	+
101493121	101493201	+
101493436	101493520	+
101495970	101496051	+
101496388	101496466	+
