1:2229387	1	4.6532	2229387	0.0000	0.0795	1	0	0	0.0051	0.0048	0.0172	0.0000	0.0000	0	0.0172	58	900
1:2889706	1	5.6356	2889706	0.0000	0.0000	1	0	0	0.0052	0.0048	0.0172	0.0000	0.0000	0	0.0172	58	950
1:3002589	1	5.8093	3002589	0.0000	0.0000	2	0	0	0.0147	0.0118	0.0345	0.0000	0.0000	0	0.0345	58	950
1:3711689	1	8.7631	3711689	0.0000	0.2159	3	0	0	0.0002	0.0005	0.0517	0.0000	0.0000	0	0.0517	58	850
1:4593242	1	10.9326	4593242	0.5000	0.0227	5	0	0	0.0030	0.0022	0.0862	0.0000	0.0000	0	0.0862	58	900
1:5643158	1	14.0211	5643158	0.0000	0.2614	6	0	0	0.0066	0.0055	0.1034	0.0000	0.0000	0	0.1034	58	900
1:5695724	1	14.2465	5695724	1.0000	0.0114	5	0	0	0.0018	0.0020	0.0862	0.0000	0.0000	0	0.0862	58	900
1:6677767	1	16.4437	6677767	0.0000	0.0000	5	0	0	0.0005	0.0006	0.0862	0.0000	0.0000	0	0.0862	58	500
1:7916959	1	18.3769	7916959	0.0000	0.1705	4	0	0	0.0036	0.0040	0.0690	0.0000	0.0000	0	0.0690	58	750
1:8430337	1	19.0989	8430337	0.0000	0.0000	1	0	0	0.0010	0.0012	0.0172	0.0000	0.0000	0	0.0172	58	500
1:8430745	1	19.0990	8430745	0.0000	0.0000	1	0	0	0.0017	0.0012	0.0172	0.0000	0.0000	0	0.0172	58	500
1:10152598	1	21.7355	10152598	0.0000	0.0488	1	0	0	0.0002	0.0003	0.0172	0.0000	0.0000	0	0.0172	58	500
1:10957277	1	23.0595	10957277	0.0000	0.0000	1	0	0	0.0025	0.0029	0.0172	0.0000	0.0000	0	0.0172	58	900
1:11074420	1	23.6145	11074420	1.0000	0.2955	6	0	0	0.0028	0.0022	0.1034	0.0000	0.0000	0	0.1034	58	450
1:11239338	1	23.6647	11239338	0.0000	0.0909	6	0	0	0.0000	0.0000	0.1034	0.0000	0.0000	0	0.1034	58	250
1:11839034	1	24.8779	11839034	0.0000	0.0795	3	0	0	0.0015	0.0003	0.0517	0.0000	0.0000	0	0.0517	58	600
1:11852110	1	24.8834	11852110	0.0000	0.1477	3	0	0	0.0010	0.0006	0.0517	0.0000	0.0000	0	0.0517	58	550
